name,root,iterations,time,absolute error,relative error
bisection,2.0000000017898185,26,3.552436828613281e-05,1.7898185156184354e-09,8.949092578092177e-10
false_position,1.999999999884544,6,1.9073486328125e-05,1.1545608913365868e-10,5.772804456682934e-11
fixed_point,1.999999996379521,42,6.103515625e-05,3.6204790276883614e-09,1.8102395138441807e-09
newton,2.0000000000000537,3,1.8358230590820312e-05,5.3734794391857577e-14,2.6867397195928788e-14
secant,1.9999999999805609,4,2.2172927856445312e-05,1.943911698276679e-11,9.719558491383395e-12
brent,1.9999999999999905,26,7.843971252441406e-05,9.547918011776346e-15,4.773959005888173e-15
bisection,1.0749108373614662,1,1.3828277587890625e-05,0.9250891626385338,0.4625445813192669
false_position,1.999999998925776,8,2.5033950805664062e-05,1.0742240430516858e-09,5.371120215258429e-10
fixed_point,2.000000002670323,49,3.457069396972656e-05,2.6703230737723516e-09,1.3351615368861758e-09
newton,2.000000000249072,4,2.0265579223632812e-05,2.490718742365061e-10,1.2453593711825306e-10
bisection,2.1654806666337487,1,1.8835067749023438e-05,0.16548066663374872,0.08274033331687436
false_position,1.9999999996906914,10,1.7881393432617188e-05,3.0930857874977846e-10,1.5465428937488923e-10
fixed_point,2.000000002861483,44,1.6450881958007812e-05,2.8614830505091504e-09,1.4307415252545752e-09
newton,2.0000000000055533,3,1.4543533325195312e-05,5.553335569175033e-12,2.7766677845875165e-12
secant,2.000000000000225,5,1.3828277587890625e-05,2.2515322939398175e-13,1.1257661469699087e-13
brent,2.0,22,5.698204040527344e-05,0.0,0.0
bisection,1.580472859947354,1,8.344650268554688e-06,0.4195271400526459,0.20976357002632295
false_position,1.9999999987452286,5,1.2159347534179688e-05,1.2547713978960928e-09,6.273856989480464e-10
fixed_point,1.999999996364017,46,4.00543212890625e-05,3.6359830701826468e-09,1.8179915350913234e-09
newton,1.9999999999999991,4,1.0967254638671875e-05,8.881784197001252e-16,4.440892098500626e-16
secant,1.9999999999997573,5,1.3828277587890625e-05,2.426947531830592e-13,1.213473765915296e-13
brent,1.580472859947354,26,5.1021575927734375e-05,0.4195271400526459,0.20976357002632295
bisection,2.0000000002744036,27,2.47955322265625e-05,2.744036109447734e-10,1.372018054723867e-10
false_position,1.9999999995440378,6,1.9550323486328125e-05,4.5596215692000897e-10,2.2798107846000448e-10
fixed_point,2.0000000037233368,45,1.3828277587890625e-05,3.7233367500277836e-09,1.8616683750138918e-09
newton,2.00000000116774,3,1.239776611328125e-05,1.167740126817307e-09,5.838700634086536e-10
